product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Clothing Item #1,Clothing,213.38,114.68,102,14
2,Electronics Item #2,Electronics,907.61,399.87,143,26
3,Beauty & Care Item #3,Beauty & Care,1059.01,502.37,330,11
4,Clothing Item #4,Clothing,1113.8,843.95,96,28
5,Home & Kitchen Item #5,Home & Kitchen,1499.83,987.91,23,41
6,Home & Kitchen Item #6,Home & Kitchen,167.81,126.46,301,30
7,Home & Kitchen Item #7,Home & Kitchen,398.87,184.96,365,25
8,Electronics Item #8,Electronics,672.52,373.78,222,50
9,Sports & Outdoors Item #9,Sports & Outdoors,845.14,480.65,444,43
10,Home & Kitchen Item #10,Home & Kitchen,48.91,31.29,458,16
11,Books Item #11,Books,229.8,177.19,424,35
12,Home & Kitchen Item #12,Home & Kitchen,1017.88,607.08,40,47
13,Beauty & Care Item #13,Beauty & Care,295.48,224.48,156,49
14,Clothing Item #14,Clothing,1284.21,721.9,163,20
15,Toys & Games Item #15,Toys & Games,274.23,164.58,197,38
16,Sports & Outdoors Item #16,Sports & Outdoors,936.64,544.3,317,47
17,Sports & Outdoors Item #17,Sports & Outdoors,1221.82,499.16,316,41
18,Beauty & Care Item #18,Beauty & Care,1115.33,496.84,299,13
19,Clothing Item #19,Clothing,1184.37,697.55,40,21
20,Home & Kitchen Item #20,Home & Kitchen,871.96,521.41,346,11
21,Clothing Item #21,Clothing,992.77,497.94,286,44
22,Electronics Item #22,Electronics,1316.12,729.13,282,38
23,Books Item #23,Books,776.97,478.28,23,17
24,Sports & Outdoors Item #24,Sports & Outdoors,159.74,105.07,245,35
25,Sports & Outdoors Item #25,Sports & Outdoors,1183.74,632.75,353,39
26,Beauty & Care Item #26,Beauty & Care,754.36,324.63,364,37
27,Beauty & Care Item #27,Beauty & Care,1249.89,670.38,383,21
28,Clothing Item #28,Clothing,1484.92,936.98,338,8
29,Clothing Item #29,Clothing,856.88,651.94,384,36
30,Clothing Item #30,Clothing,355.71,215.39,453,6
31,Home & Kitchen Item #31,Home & Kitchen,1358.1,682.41,498,17
32,Clothing Item #32,Clothing,982.89,747.35,365,31
33,Beauty & Care Item #33,Beauty & Care,1031.84,800.88,464,24
34,Beauty & Care Item #34,Beauty & Care,458.19,327.17,431,21
35,Toys & Games Item #35,Toys & Games,208.62,100.58,82,5
36,Electronics Item #36,Electronics,1341.56,910.4,359,40
37,Books Item #37,Books,552.76,304.05,366,49
38,Clothing Item #38,Clothing,1408.7,709.72,258,38
39,Electronics Item #39,Electronics,927.08,481.48,95,10
40,Electronics Item #40,Electronics,1349.77,776.37,154,30
41,Books Item #41,Books,479.12,363.69,122,15
42,Beauty & Care Item #42,Beauty & Care,481.89,329.28,138,11
43,Home & Kitchen Item #43,Home & Kitchen,1325.06,567.12,485,17
44,Toys & Games Item #44,Toys & Games,138.43,70.87,86,12
45,Beauty & Care Item #45,Beauty & Care,875.98,550.97,88,21
46,Books Item #46,Books,1217.36,827.94,68,34
47,Home & Kitchen Item #47,Home & Kitchen,82.28,43.69,374,18
48,Beauty & Care Item #48,Beauty & Care,65.77,46.54,475,29
49,Sports & Outdoors Item #49,Sports & Outdoors,1478.63,664.66,239,14
50,Books Item #50,Books,323.38,136.57,299,36
51,Toys & Games Item #51,Toys & Games,501.28,223.96,406,16
52,Books Item #52,Books,298.96,204.48,477,47
53,Electronics Item #53,Electronics,1207.9,885.8,485,8
54,Sports & Outdoors Item #54,Sports & Outdoors,1421.0,996.79,77,13
55,Sports & Outdoors Item #55,Sports & Outdoors,761.53,318.27,87,14
56,Electronics Item #56,Electronics,1149.45,554.9,247,6
57,Home & Kitchen Item #57,Home & Kitchen,1004.76,718.61,31,18
